p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.007062153,0.357523199,0.113,0.043,1,11,C6orf47
0.007587677,0.584197695,0.516,0.413,1,11,PHF11
0.007699441,0.380157551,0.145,0.064,1,11,TRNT1
0.007841108,0.329863696,0.613,0.439,1,11,TMEM59
0.007913284,0.462606743,0.435,0.301,1,11,SHISA5
0.007967412,0.427923754,0.339,0.21,1,11,RNF149
0.008135293,0.38844248,0.387,0.251,1,11,TMCO1
0.008337245,0.380057581,0.661,0.512,1,11,ISG15
0.008802844,0.620108351,0.242,0.141,1,11,TMEM9B
0.009756183,0.409667611,0.161,0.076,1,11,ARMCX6
0.009876231,0.300319208,0.129,0.054,1,11,STYX
3.18E-38,1.461475573,0.235,0.009,4.57E-34,12,LINC02446
6.75E-37,1.967249079,0.647,0.071,9.70E-33,12,CD8B
3.81E-26,0.630421739,0.118,0.003,5.48E-22,12,CPNE2
8.94E-16,0.710065116,0.147,0.009,1.28E-11,12,ACTN1
4.85E-13,0.913052306,0.147,0.011,6.97E-09,12,LAYN
3.50E-11,1.23629148,0.353,0.065,5.03E-07,12,KLRK1
8.69E-11,0.499712416,1,0.998,1.25E-06,12,RPS12
4.03E-10,0.69904755,0.118,0.009,5.79E-06,12,SMCR8
1.62E-09,0.660491056,1,0.996,2.33E-05,12,RPS3A
6.23E-09,0.807185857,1,0.997,8.95E-05,12,MALAT1
1.02E-08,0.45530493,1,0.997,0.000146836,12,RPL32
1.30E-07,0.485713445,1,0.995,0.001868662,12,RPS23
1.34E-07,1.081457633,0.912,0.663,0.001924996,12,GAS5
4.09E-07,0.464571063,1,0.996,0.005879048,12,RPS15A
5.30E-07,0.430614015,1,0.998,0.007621385,12,RPLP1
6.90E-07,0.881397056,0.382,0.108,0.009910471,12,CD8A
1.12E-06,0.505870052,0.971,0.984,0.01614334,12,RACK1
1.15E-06,0.510684174,1,0.994,0.016565399,12,RPS28
1.20E-06,0.485852896,1,0.992,0.017293033,12,RPL35A
1.86E-06,0.465937292,1,0.996,0.02671883,12,RPL34
2.36E-06,0.475314587,1,0.987,0.033948498,12,RPS5
2.44E-06,1.098100347,0.265,0.067,0.035134386,12,TCF7
2.48E-06,0.422378521,1,0.998,0.035642052,12,RPL19
3.52E-06,0.749669968,0.147,0.024,0.050565541,12,NELL2
4.32E-06,0.420718117,1,0.994,0.062153552,12,RPS13
5.49E-06,0.382440353,1,0.996,0.078858594,12,RPL13
5.50E-06,0.374224702,1,0.997,0.079015492,12,RPS8
6.40E-06,0.331098394,1,1,0.091974783,12,EEF1A1
